ID;Site_name;Longitude;Latitude;Power;Uplink_1;Uplink_2;Uplink_3;Uplink_4;Uplink_5;Uplink_6;Downlink_1;Downlink_2;Downlink_3;Downlink_4;Downlink_5;Downlink_6;Azimuth;Tilt;Height
658476;M_4G_PIELA4G;28.80266667;47.04208333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;355;5;32
127273;M_4G_PIELA4G;28.80266667;47.04208333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;260;5;32
127274;M_4G_PIELA4G;28.80266667;47.04208333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;355;5;32
870948;M_4G_PIETR4G_800;28.80561111;47.00305556;35.8;703;708;713;718;723;728;758;763;768;773;778;783;190;9;29
870949;M_4G_PIETR4G_800;28.80561111;47.00305556;35.8;703;708;713;718;723;728;758;763;768;773;778;783;325;11;29
21993;M_4G_PILON_OMD_2BALC3G;28.78098333;47.05635833;19.1;703;708;713;718;723;728;758;763;768;773;778;783;0;2;20
21994;M_4G_PILON_OMD_2BALC3G;28.78098333;47.05635833;16.5;703;708;713;718;723;728;758;763;768;773;778;783;80;4;19.5
21996;M_4G_PILON_OMD_2BALC3G;28.78098333;47.05635833;19.1;703;708;713;718;723;728;758;763;768;773;778;783;250;4;20
21997;M_4G_PILON_OMD_2BALC3G;28.78098333;47.05635833;19.5;703;708;713;718;723;728;758;763;768;773;778;783;250;2;20
21228;M_4G_PIRCALAB_UNVRS4G;28.83325833;47.02144444;19.5;703;708;713;718;723;728;758;763;768;773;778;783;95;8;32.5
21229;M_4G_PIRCALAB_UNVRS4G;28.83325833;47.02144444;19.5;703;708;713;718;723;728;758;763;768;773;778;783;180;8;32.5
127275;M_4G_PLOVD4G;28.86385;47.04708333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;15;6;22.2
658477;M_4G_PLOVD4G;28.86385;47.04708333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;15;6;22.2
658478;M_4G_PLOVD4G;28.86385;47.04708333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;160;6;22.2
658479;M_4G_PLOVD4G;28.86385;47.04708333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;280;4;22.2
127276;M_4G_PLOVD4G;28.86385;47.04708333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;160;6;22.2
127277;M_4G_PLOVD4G;28.86385;47.04708333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;280;4;22.2
23277;M_4G_PMAN_1PMAN3G;28.83195833;47.02504722;12.5;703;708;713;718;723;728;758;763;768;773;778;783;45;0;0
23279;M_4G_PMAN_1PMAN3G;28.83195833;47.02504722;12.5;703;708;713;718;723;728;758;763;768;773;778;783;280;0;0
23278;M_4G_PMAN_1PMAN3G;28.83195833;47.02504722;12.5;703;708;713;718;723;728;758;763;768;773;778;783;175;0;0
